timestamp,Team1,Team2,Conf1,Conf2
-1428973200,Washington,West Seattle A.C.,Pacific,
-1428973200,VMI,Wofford,Southern,FBS Independents
-1428973200,Sewanee,Transylvania,Southern,
-1428973200,Texas A&M,Tarleton State,Southwest,
-1428973200,Davidson,Elon,FBS Independents,
-1428973200,Samford,Marion,FBS Independents,
-1428364800,Columbia,Haverford,FBS Independents,
-1428364800,Pittsburgh,Grove City,FBS Independents,
-1428364800,Dartmouth,Norwich,FBS Independents,
-1428364800,Oregon,Willamette,Pacific,
-1428364800,Pennsylvania,Ursinus,FBS Independents,
-1428364800,Penn State,Lebanon Valley,FBS Independents,
-1428364800,Arkansas,Northeastern Oklahoma State,Southwest,
-1428364800,Alabama,Union (Tennessee),Southern,
-1428364800,Cornell,St. Bonaventure,FBS Independents,
-1428364800,Regis (CO),Colorado School Of Mines,FBS Independents,Rocky Mountain
-1428364800,Georgia Tech,Oglethorpe,Southern,FBS Independents
-1428364800,Georgia,Mercer,Southern,FBS Independents
-1428364800,Wisconsin,North Dakota,Western,
-1428364800,Birmingham-Southern,Auburn,FBS Independents,Southern
-1428364800,Wake Forest,North Carolina,FBS Independents,Southern
-1428364800,Virginia,Hampden-Sydney,Southern,
-1428364800,Gonzaga,Eastern Washington,FBS Independents,
-1428364800,Virginia Tech,Richmond,Southern,FBS Independents
-1428364800,Lenoir-Rhyne,William & Mary,,FBS Independents
-1428364800,VMI,Emory & Henry College,Southern,
-1428364800,Washington and Lee,Roanoke,Southern,
-1428364800,Washington & Jefferson,Geneva,FBS Independents,
-1428364800,Sewanee,Rhodes College,Southern,
-1428364800,South Carolina,Erskine,Southern,FBS Independents
-1428364800,Purdue,Wabash College,Western,
-1428364800,NC State,Duke,Southern,FBS Independents
-1428364800,Colorado College,Western Colorado,Rocky Mountain,FBS Independents
-1428364800,Wofford,Piedmont,FBS Independents,
-1428364800,Baylor,Hardin-Simmons,Southwest,
-1428364800,California,Santa Clara,Pacific,
-1428364800,Carnegie Mellon,Dayton,FBS Independents,
-1428364800,Presbyterian,Davidson,FBS Independents,FBS Independents
-1428364800,The Citadel,Southern College,FBS Independents,
-1428364800,Clemson,Elon,Southern,
-1428364800,Iowa State,Nebraska Wesleyan,Missouri Valley,
-1428364800,Oklahoma State,Southwestern Oklahoma State,Southwest,
-1428364800,Furman,Newberry,FBS Independents,FBS Independents
-1428364800,Millsaps,Clarke Memorial,FBS Independents,
-1428364800,Maryland,Washington (Maryland),Southern,
-1428364800,LSU,Spring Hill,Southern,
-1428364800,Indiana,Rose-Hulman,Western,
-1428364800,Vanderbilt,Henderson State,Southern,
-1428364800,West Virginia,West Virginia Wesleyan,FBS Independents,
-1428364800,Tulane,Louisiana,Southern,
-1428364800,TCU,East Texas A&M,Southwest,
-1428364800,Texas A&M,Trinity (Texas),Southwest,
-1428364800,Texas,Southwestern University,Southwest,
-1428364800,Syracuse,Hobart College,FBS Independents,
-1428364800,SMU,North Texas,Southwest,
-1428364800,USC,California Tech,Pacific,
-1428364800,Washington,USS Maryland,Pacific,
-1428364800,Chattanooga,Jacksonville State,FBS Independents,
-1428019200,Pennsylvania,Drexel,FBS Independents,
-1427846400,Washburn,Kansas State,,Missouri Valley
-1427760000,West Virginia,Allegheny,FBS Independents,
-1427760000,Yale,North Carolina,FBS Independents,Southern
-1427760000,Wisconsin,Iowa State,Western,Missouri Valley
-1427760000,Drury,Washington University (St. Louis),,Missouri Valley
-1427760000,Michigan,Miami (OH),Western,
-1427760000,LSU,Louisiana,Southern,
-1427760000,Pittsburgh,Lafayette,FBS Independents,
-1427760000,Kentucky,Louisville,Southern,
-1427760000,Iowa,Southeastern Oklahoma State,Western,
-1427760000,Indiana,Depauw,Western,
-1427760000,Nebraska,Illinois,Missouri Valley,Western
-1427760000,Idaho,Gonzaga,Pacific,FBS Independents
-1427760000,Harvard,Virginia,FBS Independents,Southern
-1427760000,Colorado College,BYU,Rocky Mountain,Rocky Mountain
-1427760000,Colorado School Of Mines,Utah State,Rocky Mountain,Rocky Mountain
-1427760000,Georgia,South Carolina,Southern,Southern
-1427760000,Washington and Lee,Maryland,Southern,Southern
-1427760000,Navy,William & Mary,FBS Independents,FBS Independents
-1427760000,Florida,Rollins,Southern,
-1427760000,Minnesota,North Dakota,Western,
-1427760000,Texas A&M,Southwestern University,Southwest,
-1427760000,Texas,Phillips,Southwest,
-1427760000,Tennessee,Emory & Henry College,Southern,
-1427760000,Stanford,Occidental,Pacific,
-1427760000,SMU,Trinity (Texas),Southwest,
-1427760000,USC,Pomona Pitzer,Pacific,
-1427760000,Samford,Jacksonville State,FBS Independents,
-1427760000,Rice,Sam Houston,Southwest,
-1427760000,Princeton,Amherst,FBS Independents,
-1427760000,The Citadel,Wofford,FBS Independents,FBS Independents
-1427760000,Davidson,Richmond,FBS Independents,FBS Independents
-1427760000,Georgia Tech,VMI,Southern,Southern
-1427760000,Ohio State,Purdue,Western,Western
-1427760000,Syracuse,Mercer,FBS Independents,FBS Independents
-1427760000,Ole Miss,Arkansas State,Southern,
-1427760000,Washington State,Pacific (Oregon),Pacific,
-1427760000,Auburn,Clemson,Southern,Southern
-1427760000,Utah,Drake,Rocky Mountain,Missouri Valley
-1427760000,Duke,Guilford College,FBS Independents,
-1427760000,Fort Benning,Oglethorpe,,FBS Independents
-1427760000,Chicago,Missouri,Western,Missouri Valley
-1427760000,Mississippi State,Millsaps,Southern,FBS Independents
-1427760000,Furman,Alabama,FBS Independents,Southern
-1427760000,Baylor,North Texas,Southwest,
-1427760000,Montana,Carroll (Montana),Pacific,
-1427760000,Cornell,Niagara,FBS Independents,
-1427760000,Army,Saint Louis,FBS Independents,
-1427760000,Denver,Regis (CO),Rocky Mountain,FBS Independents
-1427760000,Cornell College (IA),Grinnell,,Missouri Valley
-1427760000,Dartmouth,McGill,FBS Independents,
-1427760000,Cumberland (TN),Chattanooga,,FBS Independents
-1427760000,Arkansas,Missouri State,Southwest,
-1427760000,Brown,Colby College,FBS Independents,
-1427760000,California,Saint Mary's (CA),Pacific,
-1427760000,Thiel,Carnegie Mellon,,FBS Independents
-1427760000,Sewanee,Carson-Newman College,Southern,
-1427760000,Oklahoma,Central Oklahoma,Missouri Valley,
-1427760000,Colgate,Alfred University,FBS Independents,
-1427760000,Colorado,Western Colorado,Rocky Mountain,FBS Independents
-1427760000,Boston University,Maine,FBS Independents,
-1427760000,Columbia,St. Lawrence,FBS Independents,
-1427760000,Pennsylvania,Franklin & Marshall,FBS Independents,
-1427760000,Penn State,NC State,FBS Independents,Southern
-1427760000,Whitman,Oregon State,FBS Independents,Pacific
-1427760000,Kansas,Oklahoma State,Missouri Valley,Southwest
-1427760000,Notre Dame,Lombard,FBS Independents,
-1427760000,Northwestern,South Dakota,Western,
-1427760000,Lenoir-Rhyne,Newberry,,FBS Independents
-1427760000,Vanderbilt,Birmingham-Southern,Southern,FBS Independents
-1427760000,Washington & Jefferson,Bethany (WV),FBS Independents,
-1427760000,Washington,Willamette,Pacific,
-1427760000,Virginia Tech,Hampden-Sydney,Southern,
-1427760000,Tulane,Mississippi College,Southern,FBS Independents
-1427760000,Valparaiso,Centre College Kentucky,,FBS Independents
-1427760000,TCU,Daniel Baker,Southwest,
-1427241600,Kansas State,Emporia State University,Missouri Valley,
-1427241600,SMU,Austin,Southwest,
-1427155200,Illinois,Butler,Western,
-1427155200,Mississippi State,Ouachita,Southern,
-1427155200,South Carolina,NC State,Southern,Southern
-1427155200,Tulane,Louisiana Tech,Southern,
-1427155200,Washington & Jefferson,Grove City,FBS Independents,
-1427155200,TCU,Oklahoma State,Southwest,Southwest
